HANE_ID,YIL,AY,ILCE,TUKETIM,IS_ANOMALY,IS_MISSING,ORTALAMA_TUKETIM_MEAN,ABONE_ADEDI_SUM,KAYIT_SAYISI,ORT_DOLULUK,TOPLAM_SU,BARAJ_SAYISI
150,2021,7,MENDERES,77.95,0,0,54.0,3.0,1.0,53.971666666666664,382565000.0,6.0
151,2024,4,KONAK,186.77,0,0,10.0,2.0,1.0,49.43333333333334,341213000.0,6.0
152,2021,5,BEYDAĞ,177.16,0,0,12.0,2.0,1.0,67.79166666666667,440658000.0,6.0
153,2020,12,DİKİLİ,112.52,0,0,1259.6666666666667,107.0,3.0,33.15833333333333,251570000.0,6.0
157,2023,5,BAYINDIR,127.59,0,0,,,,46.355,326783000.0,6.0
158,2023,9,TORBALI,164.09,0,0,184.0,1.0,1.0,29.215,272137000.0,6.0
167,2021,10,NARLIDERE,167.2,0,0,11614.5,2120.0,2.0,40.41833333333333,310750000.0,6.0
169,2020,3,KARABAĞLAR,74.57,0,0,,,,45.97083333333333,763761000.0,12.0
171,2023,5,GÜZELBAHÇE,158.8,0,0,,,,46.355,326783000.0,6.0
175,2023,3,URLA,71.64,0,0,23.0,1.0,1.0,42.32666666666667,313051000.0,6.0
176,2021,1,URLA,141.14,0,0,,,,42.87166666666667,270220000.0,6.0
178,2022,2,KONAK,141.39,0,0,12.0,1.0,1.0,66.33666666666666,380070000.0,6.0
180,2020,11,TİRE,131.97,0,0,,,,24.118333333333336,243861000.0,6.0
181,2021,11,URLA,166.52,0,0,,,,36.111666666666665,299884000.0,6.0
184,2024,3,BAYRAKLI,184.84,0,0,,,,49.19499999999999,340131000.0,6.0
185,2021,6,FOÇA,191.77,0,0,421.0,34.0,1.0,61.6,415893000.0,6.0
189,2022,10,KONAK,197.69,0,0,,,,40.355,303945000.0,6.0
192,2024,3,ÖDEMİŞ,96.18,0,0,,,,49.19499999999999,340131000.0,6.0
193,2024,4,BERGAMA,118.97,0,0,,,,49.43333333333334,341213000.0,6.0
196,2021,12,KARABAĞLAR,71.97,0,0,4.0,1.0,1.0,44.43,313786000.0,6.0
197,2023,7,SEFERİHİSAR,182.54,0,0,1219.0,64.0,1.0,41.435,306447000.0,6.0
199,2024,3,KONAK,167.3,0,0,,,,49.19499999999999,340131000.0,6.0
200,2023,10,SELÇUK,39.68,0,0,,,,24.72666666666667,244436000.0,6.0
204,2024,4,BAYINDIR,83.04,0,0,48.0,6.0,1.0,49.43333333333334,341213000.0,6.0
206,2020,1,KONAK,171.17,0,0,26.0,4.0,1.0,43.28583333333333,750576000.0,12.0
209,2020,1,GAZİEMİR,158.19,0,0,35.0,2.0,1.0,43.28583333333333,750576000.0,12.0
211,2022,11,KONAK,160.07,0,0,8.0,1.0,1.0,35.45333333333333,290429000.0,6.0
212,2023,5,ÖDEMİŞ,85.19,0,0,,,,46.355,326783000.0,6.0
215,2023,6,ÖDEMİŞ,574.1047749136162,1,0,432.0,20.0,1.0,44.945,320996000.0,6.0
218,2023,8,ÖDEMİŞ,117.74,0,0,,,,35.550000000000004,289801000.0,6.0
219,2023,4,BAYINDIR,185.92,0,0,65.0,2.0,1.0,46.845,329634000.0,6.0
220,2024,1,ÇİĞLİ,172.25,0,0,,,,35.190000000000005,280086000.0,6.0
221,2023,4,KARŞIYAKA,126.5,0,0,,,,46.845,329634000.0,6.0
222,2022,12,KEMALPAŞA,,1,1,190.5,59.0,2.0,36.538333333333334,288391000.0,6.0
228,2022,2,TİRE,8303.969905098555,1,0,184.0,4.0,1.0,66.33666666666666,380070000.0,6.0
229,2024,3,TORBALI,64.21,0,0,,,,49.19499999999999,340131000.0,6.0
230,2023,3,DİKİLİ,12036.910662717555,1,0,,,,42.32666666666667,313051000.0,6.0
231,2023,11,KEMALPAŞA,99.52,0,0,,,,22.915000000000003,229694000.0,6.0
234,2022,8,BUCA,110.58,0,0,,,,46.225,334604000.0,6.0
239,2023,3,ÇEŞME,82.92,0,0,,,,42.32666666666667,313051000.0,6.0
240,2021,2,BAYINDIR,157.23,0,0,24.5,8.0,2.0,63.975,381253000.0,6.0
241,2024,5,ÖDEMİŞ,127.39,0,0,40.0,9.0,3.0,47.67666666666667,331440000.0,6.0
248,2024,7,KARABURUN,105.48,0,0,22.0,3.0,1.0,39.32833333333333,289223000.0,6.0
249,2024,7,BUCA,171.47,0,0,214.0,12.0,1.0,39.32833333333333,289223000.0,6.0
252,2022,2,KARABURUN,97.99,0,0,,,,66.33666666666666,380070000.0,6.0
253,2024,2,ALİAĞA,-87.11,1,0,101.0,8.0,1.0,44.58833333333333,331522000.0,6.0
255,2021,1,KİRAZ,178.72,0,0,52.0,3.0,1.0,42.87166666666667,270220000.0,6.0
260,2020,9,BERGAMA,154.08,0,0,57.0,1.0,1.0,28.296666666666667,275243000.0,6.0
271,2023,12,BERGAMA,149.54,0,0,,,,26.203333333333333,247671000.0,6.0
275,2022,9,KEMALPAŞA,123.37,0,0,561.0,6.0,1.0,42.855,318643000.0,6.0
279,2023,6,KINIK,123.45,0,0,,,,44.945,320996000.0,6.0
280,2023,11,KONAK,108.78,0,0,,,,22.915000000000003,229694000.0,6.0
284,2020,8,URLA,126.81,0,0,405.5,7.0,2.0,32.69166666666667,294685000.0,6.0
288,2022,11,BORNOVA,127.3,0,0,,,,35.45333333333333,290429000.0,6.0
290,2023,1,KONAK,193.39,0,0,,,,36.13833333333333,284679000.0,6.0
291,2020,2,SEFERİHİSAR,198.85,0,0,23.0,2.0,1.0,,,
292,2020,3,BERGAMA,102.71,0,0,11.0,1.0,1.0,45.97083333333333,763761000.0,12.0
294,2021,12,ÖDEMİŞ,127.09,0,0,93.0,3.0,1.0,44.43,313786000.0,6.0
297,2023,10,BUCA,134.07,0,0,,,,24.72666666666667,244436000.0,6.0
298,2021,3,ÇEŞME,101.79,0,0,401.0,10.0,1.0,69.53833333333334,440241000.0,6.0
299,2023,2,ÇİĞLİ,75.68,0,0,22.0,4.0,1.0,39.745,304390000.0,6.0
306,2024,7,ÇİĞLİ,7068.160042192835,1,0,,,,39.32833333333333,289223000.0,6.0
309,2023,11,KINIK,153.0,0,0,,,,22.915000000000003,229694000.0,6.0
310,2021,7,BERGAMA,151.64,0,0,531.5,51.0,2.0,53.971666666666664,382565000.0,6.0
315,2024,1,GÜZELBAHÇE,76.22,0,0,,,,35.190000000000005,280086000.0,6.0
316,2023,6,BORNOVA,117.75,0,0,,,,44.945,320996000.0,6.0
319,2020,12,URLA,,1,1,,,,33.15833333333333,251570000.0,6.0
322,2023,7,BAYINDIR,106.42,0,0,98.5,3.0,2.0,41.435,306447000.0,6.0
323,2023,4,KONAK,191.89,0,0,,,,46.845,329634000.0,6.0
326,2023,8,KEMALPAŞA,96.14490561470552,1,0,263.0,46.0,2.0,35.550000000000004,289801000.0,6.0
329,2022,4,BORNOVA,138.04,0,0,298.5,51.0,2.0,69.625,417610000.0,6.0
331,2021,12,SEFERİHİSAR,119.22,0,0,5790.0,539.0,1.0,44.43,313786000.0,6.0
333,2020,1,TİRE,113.23,0,0,,,,43.28583333333333,750576000.0,12.0
334,2020,10,KINIK,146.64,0,0,,,,25.903333333333336,258732000.0,6.0
351,2022,8,ÇİĞLİ,14.97,0,0,,,,46.225,334604000.0,6.0
352,2024,2,BUCA,47.86,0,0,2.0,1.0,1.0,44.58833333333333,331522000.0,6.0
354,2021,1,BUCA,129.26,0,0,7.0,1.0,1.0,42.87166666666667,270220000.0,6.0
355,2020,7,BAYINDIR,95.62,0,0,,,,38.525,316270000.0,6.0
357,2020,2,KONAK,208.24,0,0,,,,,,
361,2022,2,KONAK,179.77,0,0,12.0,1.0,1.0,66.33666666666666,380070000.0,6.0
367,2024,7,BAYRAKLI,,1,1,,,,39.32833333333333,289223000.0,6.0
368,2024,4,KARABAĞLAR,96.49,0,0,1290.0,229.0,2.0,49.43333333333334,341213000.0,6.0
372,2020,2,BAYINDIR,176.77,0,0,15.0,1.0,1.0,,,
374,2023,5,KİRAZ,75.49,0,0,,,,46.355,326783000.0,6.0
377,2024,1,SEFERİHİSAR,151.75,0,0,255.0,88.0,2.0,35.190000000000005,280086000.0,6.0
379,2023,12,KARABAĞLAR,126.21,0,0,,,,26.203333333333333,247671000.0,6.0
388,2021,2,BAYINDIR,185.5,0,0,24.5,8.0,2.0,63.975,381253000.0,6.0
394,2023,10,KONAK,6.217167549694395,1,0,171.0,20.0,2.0,24.72666666666667,244436000.0,6.0
403,2022,9,BAYINDIR,74.6,0,0,,,,42.855,318643000.0,6.0
409,2024,4,KARABAĞLAR,113.52,0,0,1290.0,229.0,2.0,49.43333333333334,341213000.0,6.0
411,2021,10,MENDERES,75.26,0,0,2306.0,77.0,1.0,40.41833333333333,310750000.0,6.0
415,2023,3,FOÇA,78.45,0,0,,,,42.32666666666667,313051000.0,6.0
416,2022,5,MENEMEN,158.73,0,0,14.0,4.0,1.0,65.71,400103000.0,6.0
417,2021,8,TORBALI,32.399435603633506,1,0,,,,48.65833333333333,348099000.0,6.0
423,2020,8,MENEMEN,93.95,0,0,,,,32.69166666666667,294685000.0,6.0
427,2022,5,FOÇA,5.408945850126012,1,0,42.0,1.0,1.0,65.71,400103000.0,6.0
430,2020,10,KONAK,149.41,0,0,16.0,1.0,1.0,25.903333333333336,258732000.0,6.0
433,2023,2,SEFERİHİSAR,198.86,0,0,27.0,2.0,1.0,39.745,304390000.0,6.0
434,2020,9,KARŞIYAKA,179.66,0,0,,,,28.296666666666667,275243000.0,6.0
437,2020,7,BUCA,118.01,0,0,211.0,14.0,2.0,38.525,316270000.0,6.0
439,2023,6,MENEMEN,51.02,0,0,60474.0,5542.0,1.0,44.945,320996000.0,6.0
444,2022,1,KONAK,181.45,0,0,,,,52.89333333333334,324869000.0,6.0
446,2024,6,KARABAĞLAR,155.8,0,0,42.0,1.0,1.0,44.919999999999995,314563000.0,6.0
451,2023,10,KİRAZ,43.05,0,0,,,,24.72666666666667,244436000.0,6.0
453,2022,4,KEMALPAŞA,107.75,0,0,133.0,1.0,1.0,69.625,417610000.0,6.0
458,2022,6,TORBALI,124.79,0,0,279.0,7.0,2.0,59.61666666666667,373647000.0,6.0
462,2023,4,BAYINDIR,56.75,0,0,65.0,2.0,1.0,46.845,329634000.0,6.0
464,2023,1,BERGAMA,112.67,0,0,1449.0,174.0,2.0,36.13833333333333,284679000.0,6.0
466,2022,1,TORBALI,81.58,0,0,,,,52.89333333333334,324869000.0,6.0
469,2021,4,FOÇA,217.05,0,0,,,,71.15166666666666,454646000.0,6.0
472,2024,7,KONAK,179.2,0,0,,,,39.32833333333333,289223000.0,6.0
473,2020,3,KONAK,85.89,0,0,,,,45.97083333333333,763761000.0,12.0
479,2024,7,KONAK,190.09,0,0,,,,39.32833333333333,289223000.0,6.0
486,2024,4,BEYDAĞ,54.42,0,0,19.0,1.0,1.0,49.43333333333334,341213000.0,6.0
487,2020,3,MENEMEN,162.25,0,0,10.0,1.0,1.0,45.97083333333333,763761000.0,12.0
491,2022,6,BAYINDIR,179.01,0,0,35.0,1.0,1.0,59.61666666666667,373647000.0,6.0
492,2023,2,TORBALI,209.78,0,0,219.33333333333334,10.0,3.0,39.745,304390000.0,6.0
495,2022,6,KONAK,77.92,0,0,13678.0,1090.0,1.0,59.61666666666667,373647000.0,6.0
496,2021,12,KONAK,149.93,0,0,10.333333333333334,4.0,3.0,44.43,313786000.0,6.0
498,2020,7,KONAK,160.99,0,0,,,,38.525,316270000.0,6.0
502,2022,10,URLA,101.7,0,0,722.5,21.0,2.0,40.355,303945000.0,6.0
506,2021,1,BORNOVA,130.35,0,0,,,,42.87166666666667,270220000.0,6.0
507,2024,4,MENDERES,113.14,0,0,499.0,34.0,1.0,49.43333333333334,341213000.0,6.0
508,2023,12,SEFERİHİSAR,166.3,0,0,360.0,42.0,1.0,26.203333333333333,247671000.0,6.0
512,2022,4,BERGAMA,172.33,0,0,6.0,1.0,1.0,69.625,417610000.0,6.0
518,2023,12,BORNOVA,70.6,0,0,834.0,2.0,1.0,26.203333333333333,247671000.0,6.0
519,2024,8,KİRAZ,140.79,0,0,88.0,6.0,1.0,32.655,257371000.0,6.0
528,2021,7,FOÇA,219.59,0,0,711.5,99.0,2.0,53.971666666666664,382565000.0,6.0
531,2023,12,FOÇA,117.94,0,0,47.5,4.0,2.0,26.203333333333333,247671000.0,6.0
534,2022,11,TİRE,128.49,0,0,,,,35.45333333333333,290429000.0,6.0
535,2023,10,BORNOVA,86.1,0,0,,,,24.72666666666667,244436000.0,6.0
536,2024,6,BORNOVA,95.82,0,0,1942.5,15.0,2.0,44.919999999999995,314563000.0,6.0
539,2022,5,TORBALI,38.19,0,0,926.0,38.0,1.0,65.71,400103000.0,6.0
541,2024,6,NARLIDERE,187.68,0,0,,,,44.919999999999995,314563000.0,6.0
544,2023,5,BAYINDIR,145.41,0,0,,,,46.355,326783000.0,6.0
545,2023,2,NARLIDERE,119.49,0,0,601.0,5.0,1.0,39.745,304390000.0,6.0
550,2023,10,KARABAĞLAR,185.6,0,0,,,,24.72666666666667,244436000.0,6.0
552,2024,2,BAYINDIR,151.77,0,0,322.0,99.0,2.0,44.58833333333333,331522000.0,6.0
554,2022,12,BAYRAKLI,158.04,0,0,2.0,2.0,1.0,36.538333333333334,288391000.0,6.0
556,2022,3,KARABAĞLAR,146.17,0,0,,,,71.255,424798000.0,6.0
562,2021,3,TORBALI,107.63,0,0,8.0,1.0,1.0,69.53833333333334,440241000.0,6.0
565,2021,12,KEMALPAŞA,13.777295994023842,1,0,2786.5,331.0,2.0,44.43,313786000.0,6.0
566,2023,1,KEMALPAŞA,101.27,0,0,30.0,1.0,1.0,36.13833333333333,284679000.0,6.0
567,2022,2,TORBALI,117.66,0,0,,,,66.33666666666666,380070000.0,6.0
568,2022,5,BAYINDIR,138.14,0,0,,,,65.71,400103000.0,6.0
569,2024,4,GAZİEMİR,106.9,0,0,1211.0,109.0,1.0,49.43333333333334,341213000.0,6.0
577,2020,12,KARABURUN,166.43,0,0,318.0,17.0,1.0,33.15833333333333,251570000.0,6.0
578,2024,5,KARABAĞLAR,-71.73,1,0,86.0,7.0,1.0,47.67666666666667,331440000.0,6.0
583,2022,8,BUCA,149.3,0,0,,,,46.225,334604000.0,6.0
585,2023,3,KARABAĞLAR,124.02,0,0,,,,42.32666666666667,313051000.0,6.0
587,2020,7,KEMALPAŞA,139.87,0,0,54.0,1.0,1.0,38.525,316270000.0,6.0
590,2020,12,MENEMEN,158.63,0,0,6.0,1.0,1.0,33.15833333333333,251570000.0,6.0
595,2024,3,ÖDEMİŞ,89.15,0,0,,,,49.19499999999999,340131000.0,6.0
597,2023,4,URLA,159.5,0,0,61.0,2.0,1.0,46.845,329634000.0,6.0
599,2021,2,TİRE,41.32,0,0,3.0,1.0,1.0,63.975,381253000.0,6.0
600,2020,3,KARABAĞLAR,118.61110932431072,1,0,,,,45.97083333333333,763761000.0,12.0
603,2021,2,BAYINDIR,70.01,0,0,24.5,8.0,2.0,63.975,381253000.0,6.0
606,2022,6,KARABAĞLAR,84.24,0,0,,,,59.61666666666667,373647000.0,6.0
612,2023,11,MENEMEN,,1,1,72.0,13.0,2.0,22.915000000000003,229694000.0,6.0
614,2020,7,URLA,146.06,0,0,,,,38.525,316270000.0,6.0
616,2024,5,BAYINDIR,125.66,0,0,1642.0,226.0,1.0,47.67666666666667,331440000.0,6.0
619,2023,11,ÖDEMİŞ,124.71,0,0,,,,22.915000000000003,229694000.0,6.0
621,2021,2,KEMALPAŞA,62.06,0,0,2.0,1.0,1.0,63.975,381253000.0,6.0
622,2021,3,MENDERES,79.64,0,0,,,,69.53833333333334,440241000.0,6.0
623,2022,1,KONAK,178.41,0,0,,,,52.89333333333334,324869000.0,6.0
625,2023,2,SEFERİHİSAR,105.45,0,0,27.0,2.0,1.0,39.745,304390000.0,6.0
626,2022,1,KEMALPAŞA,115.71,0,0,,,,52.89333333333334,324869000.0,6.0
627,2022,6,KEMALPAŞA,77.86,0,0,443.0,6.0,1.0,59.61666666666667,373647000.0,6.0
628,2023,9,ALİAĞA,95.9,0,0,36.0,7.0,2.0,29.215,272137000.0,6.0
634,2022,10,MENDERES,95.11,0,0,198.0,1.0,1.0,40.355,303945000.0,6.0
643,2021,3,NARLIDERE,86.25,0,0,668.0,122.0,1.0,69.53833333333334,440241000.0,6.0
644,2021,11,BAYRAKLI,151.06,0,0,,,,36.111666666666665,299884000.0,6.0
645,2020,10,SEFERİHİSAR,159.4,0,0,406.5,50.0,2.0,25.903333333333336,258732000.0,6.0
649,2023,11,BORNOVA,185.82,0,0,,,,22.915000000000003,229694000.0,6.0
651,2020,8,GÜZELBAHÇE,121.53,0,0,8100.0,568.0,2.0,32.69166666666667,294685000.0,6.0
654,2023,8,ÇEŞME,156.93,0,0,,,,35.550000000000004,289801000.0,6.0
656,2020,11,BUCA,60.51,0,0,145.66666666666666,24.0,3.0,24.118333333333336,243861000.0,6.0
658,2022,1,BAYRAKLI,148.8,0,0,83.0,11.0,2.0,52.89333333333334,324869000.0,6.0
669,2021,2,KONAK,173.13,0,0,707.0,4.0,1.0,63.975,381253000.0,6.0
671,2021,1,TİRE,76.04,0,0,420.5,49.0,2.0,42.87166666666667,270220000.0,6.0
677,2020,10,BORNOVA,135.02,0,0,500.0,2.0,1.0,25.903333333333336,258732000.0,6.0
678,2022,3,BAYINDIR,124.73,0,0,,,,71.255,424798000.0,6.0
680,2024,2,MENDERES,132.87,0,0,499.0,58.0,1.0,44.58833333333333,331522000.0,6.0
681,2023,12,KINIK,4.078458131552754,1,0,,,,26.203333333333333,247671000.0,6.0
682,2021,6,FOÇA,172.07,0,0,421.0,34.0,1.0,61.6,415893000.0,6.0
684,2023,4,ÇİĞLİ,184.98,0,0,,,,46.845,329634000.0,6.0
691,2021,10,URLA,134.1,0,0,,,,40.41833333333333,310750000.0,6.0
692,2022,4,KINIK,184.48,0,0,1719.0,139.0,1.0,69.625,417610000.0,6.0
694,2021,5,KARABAĞLAR,115.12,0,0,,,,67.79166666666667,440658000.0,6.0
706,2024,8,TORBALI,180.14,0,0,2959.0,235.0,1.0,32.655,257371000.0,6.0
709,2021,6,BAYINDIR,140.95,0,0,278.0,7.0,1.0,61.6,415893000.0,6.0
712,2023,1,SEFERİHİSAR,213.02,0,0,,,,36.13833333333333,284679000.0,6.0
719,2020,11,ALİAĞA,109.16,0,0,,,,24.118333333333336,243861000.0,6.0
721,2024,5,ÇEŞME,76.72,0,0,,,,47.67666666666667,331440000.0,6.0
722,2021,2,FOÇA,177.97,0,0,98.0,5.0,1.0,63.975,381253000.0,6.0
725,2022,12,SELÇUK,,1,1,3110.5,559.0,2.0,36.538333333333334,288391000.0,6.0
726,2024,1,KİRAZ,136.3,0,0,22.0,2.0,2.0,35.190000000000005,280086000.0,6.0
732,2023,12,KARABAĞLAR,128.49,0,0,,,,26.203333333333333,247671000.0,6.0
734,2022,10,BEYDAĞ,117.57,0,0,,,,40.355,303945000.0,6.0
735,2021,12,URLA,232.30057306599613,1,0,63.0,1.0,1.0,44.43,313786000.0,6.0
743,2023,9,ALİAĞA,184.14,0,0,36.0,7.0,2.0,29.215,272137000.0,6.0
745,2021,4,SELÇUK,91.78,0,0,,,,71.15166666666666,454646000.0,6.0
747,2022,2,GÜZELBAHÇE,138.29,0,0,9.0,1.0,1.0,66.33666666666666,380070000.0,6.0
752,2024,5,ÖDEMİŞ,87.71,0,0,40.0,9.0,3.0,47.67666666666667,331440000.0,6.0
756,2023,11,KARŞIYAKA,99.32,0,0,13.0,1.0,1.0,22.915000000000003,229694000.0,6.0
757,2023,2,TORBALI,173.3,0,0,219.33333333333334,10.0,3.0,39.745,304390000.0,6.0
760,2023,11,BEYDAĞ,203.28,0,0,,,,22.915000000000003,229694000.0,6.0
764,2023,8,TORBALI,128.83,0,0,3491.0,338.0,1.0,35.550000000000004,289801000.0,6.0
765,2020,2,ÇEŞME,131.46,0,0,,,,,,
766,2022,12,KONAK,109.97,0,0,21.0,1.0,1.0,36.538333333333334,288391000.0,6.0
777,2021,4,KONAK,154.44,0,0,1461.5,10.0,2.0,71.15166666666666,454646000.0,6.0
784,2021,12,BERGAMA,115.31,0,0,,,,44.43,313786000.0,6.0
788,2022,3,BUCA,63.63,0,0,1516.0,9.0,2.0,71.255,424798000.0,6.0
790,2024,6,KARABAĞLAR,142.05,0,0,42.0,1.0,1.0,44.919999999999995,314563000.0,6.0
791,2020,12,SEFERİHİSAR,226.76,0,0,,,,33.15833333333333,251570000.0,6.0
795,2020,2,BAYINDIR,95.77,0,0,15.0,1.0,1.0,,,
799,2023,6,BUCA,85.18,0,0,,,,44.945,320996000.0,6.0
801,2023,6,SEFERİHİSAR,285.14,0,0,12139.0,2582.0,2.0,44.945,320996000.0,6.0
803,2022,12,TİRE,183.29,0,0,,,,36.538333333333334,288391000.0,6.0
804,2023,2,BORNOVA,,1,1,,,,39.745,304390000.0,6.0
806,2023,8,KARABAĞLAR,75.34,0,0,227.5,4.0,2.0,35.550000000000004,289801000.0,6.0
808,2024,5,FOÇA,208.33,0,0,27.0,1.0,1.0,47.67666666666667,331440000.0,6.0
810,2020,10,FOÇA,141.82,0,0,79.0,2.0,2.0,25.903333333333336,258732000.0,6.0
811,2024,8,KEMALPAŞA,117.0,0,0,377.0,12.0,1.0,32.655,257371000.0,6.0
812,2024,1,KEMALPAŞA,95.68,0,0,,,,35.190000000000005,280086000.0,6.0
813,2020,11,BAYINDIR,53.87,0,0,,,,24.118333333333336,243861000.0,6.0
818,2022,3,BERGAMA,-124.76,1,0,,,,71.255,424798000.0,6.0
829,2023,8,KARŞIYAKA,69.55,0,0,31.0,5.0,1.0,35.550000000000004,289801000.0,6.0
830,2022,5,URLA,207.06,0,0,,,,65.71,400103000.0,6.0
832,2022,5,URLA,108.81,0,0,,,,65.71,400103000.0,6.0
834,2021,2,ALİAĞA,120.99,0,0,,,,63.975,381253000.0,6.0
839,2023,1,ALİAĞA,125.45,0,0,2718.0,149.0,1.0,36.13833333333333,284679000.0,6.0
842,2023,4,NARLIDERE,172.63,0,0,,,,46.845,329634000.0,6.0
843,2021,2,BERGAMA,185.08,0,0,,,,63.975,381253000.0,6.0
844,2024,7,BAYRAKLI,153.46,0,0,,,,39.32833333333333,289223000.0,6.0
857,2020,3,BAYINDIR,138.4,0,0,,,,45.97083333333333,763761000.0,12.0
858,2022,6,ÖDEMİŞ,66.84,0,0,1771.0,210.0,1.0,59.61666666666667,373647000.0,6.0
860,2020,6,KONAK,159.66,0,0,415.0,16.0,1.0,43.65833333333334,337939000.0,6.0
863,2022,10,BUCA,115.63,0,0,,,,40.355,303945000.0,6.0
870,2024,6,FOÇA,64.48,0,0,,,,44.919999999999995,314563000.0,6.0
872,2021,7,BAYRAKLI,98.2,0,0,,,,53.971666666666664,382565000.0,6.0
878,2023,4,KONAK,117.85,0,0,,,,46.845,329634000.0,6.0
880,2021,4,BORNOVA,149.83,0,0,626.0,50.0,1.0,71.15166666666666,454646000.0,6.0
882,2023,5,BAYINDIR,116.58,0,0,,,,46.355,326783000.0,6.0
888,2021,5,BAYINDIR,103.43,0,0,,,,67.79166666666667,440658000.0,6.0
889,2020,9,GAZİEMİR,119.89,0,0,,,,28.296666666666667,275243000.0,6.0
890,2021,5,KARABURUN,-57.48,1,0,6.5,4.0,2.0,67.79166666666667,440658000.0,6.0
